x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24605,3085,0.49,0,1.0,-11934.37296818183,-123248.61816954549
24255,24605,3095,0.52,0,1.0,-7104.75201818182,-130353.37018772731
24255,24605,3105,0.52,0,1.0,-7104.75201818182,-137458.12220590914
24255,24605,3115,0.51,0,2.0,-7922.386971074378,-145380.50917698353
24255,24605,3125,0.51,0,2.0,-7922.386971074378,-153302.89614805792
24255,24605,3135,0.52,0,2.0,-6458.865471074381,-159761.7616191323
24255,24605,3145,0.52,0,2.0,-6458.865471074381,-166220.6270902067
24255,24605,3155,0.53,0,2.0,-4995.343971074384,-171215.97106128107
24255,24605,3165,0.53,0,2.0,-4995.343971074384,-176211.31503235546
24255,24605,3175,0.53,0,3.0,-4541.221791885803,-180752.53682424125
24255,24605,3185,0.52,0,3.0,-5871.695882794891,-186624.23270703614
24255,24605,3195,0.5,0,3.0,-8532.644064613067,-195156.8767716492
24255,24605,3205,0.5,0,3.0,-8532.644064613067,-203689.52083626227
24255,24605,3215,0.53,0,3.0,-4541.221791885803,-208230.74262814806
24255,24605,3225,0.53,0,3.0,-4541.221791885803,-212771.96442003385
24255,24605,3235,0.53,0,3.0,-4541.221791885803,-217313.18621191964
24255,24605,3245,0.48,0,4.0,-10175.992951301145,-227489.1791632208
24255,24605,3255,0.48,0,4.0,-10175.992951301145,-237665.17211452196
24255,24605,3265,0.47,0,4.0,-11385.514852127595,-249050.68696664955
24255,24605,3275,0.48,0,4.0,-10175.992951301145,-259226.6799179507
24255,24605,3285,0.45,0,4.0,-13804.558653780477,-273031.2385717312
24255,24605,3295,0.44,0,4.0,-15014.080554606919,-288045.3191263381
24255,24605,3305,0.41,0,4.0,-18642.64625708627,-306687.96538342437
24255,24605,3315,0.39,0,5.0,-19146.990962490137,-325834.9563459145
24255,24605,3325,0.39,0,5.0,-19146.990962490137,-344981.94730840466
24255,24605,3335,0.37,0,5.0,-21346.121691265496,-366328.06899967015
24255,24605,3345,0.38,0,5.0,-20246.55632687782,-386574.625326548
24255,24605,3355,0.38,0,5.0,-20246.55632687782,-406821.1816534258
24255,24605,3365,0.37,0,5.0,-21346.121691265496,-428167.3033446913
24255,24605,3375,0.39,0,5.0,-19146.990962490137,-447314.29430718144
24255,24605,3385,0.43,0,5.0,-14748.729504939427,-462063.02381212084
24255,24605,3395,0.42,0,5.0,-15848.29486932711,-477911.31868144794
24255,24605,3405,0.4,0,5.0,-18047.42559810246,-495958.7442795504
24255,24605,3415,0.42,0,5.0,-15848.29486932711,-511807.0391488775
24255,24615,3025,0.4,0,0.0,-29065.559400000006,-29065.559400000006
24255,24615,3035,0.4,0,0.0,-29065.559400000006,-58131.11880000001
24255,24615,3045,0.4,0,0.0,-29065.559400000006,-87196.67820000002
24255,24615,3055,0.41,0,0.0,-27294.698385000018,-114491.37658500005
24255,24615,3065,0.42,0,1.0,-23203.488518181828,-137694.8651031819
24255,24615,3075,0.44,0,1.0,-19983.741218181814,-157678.6063213637
24255,24615,3085,0.45,0,1.0,-18373.867568181817,-176052.47388954554
24255,24615,3095,0.47,0,1.0,-15154.12026818183,-191206.59415772738
24255,24615,3105,0.45,0,1.0,-18373.867568181817,-209580.4617259092
24255,24615,3115,0.45,0,2.0,-16703.51597107438,-226283.97769698358
24255,24615,3125,0.45,0,2.0,-16703.51597107438,-242987.49366805796
24255,24615,3135,0.45,0,2.0,-16703.51597107438,-259691.00963913233
24255,24615,3145,0.46,0,2.0,-15239.99447107438,-274931.00411020673
24255,24615,3155,0.46,0,2.0,-15239.99447107438,-290170.9985812811
24255,24615,3165,0.49,0,2.0,-10849.429971074389,-301020.4285523555
24255,24615,3175,0.55,0,3.0,-1880.2736100676123,-302900.7021624231
24255,24615,3185,0.55,0,3.0,-1880.2736100676123,-304780.9757724907
24255,24615,3195,0.53,0,3.0,-4541.221791885803,-309322.1975643765
24255,24615,3205,0.56,0,3.0,-549.7995191585239,-309871.99708353507
24255,24615,3215,0.59,0,3.0,3441.6227535687412,-306430.3743299663
